author,book_id,book_title
Carlos Ruiz Zafón,1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)"
Jonathan Safran Foer,4588,Extremely Loud and Incredibly Close
Mary Ann Shaffer,2728527,The Guernsey Literary and Potato Peel Pie Society
George R.R. Martin,62291,"A Storm of Swords (A Song of Ice and Fire, #3)"
Stephenie Meyer,49041,"New Moon (Twilight, #2)"
Michael Crichton,6424171,"Jurassic Park (Jurassic Park, #1)"
George R.R. Martin,13497,"A Feast for Crows (A Song of Ice and Fire, #4)"
Ken Follett,5043,"The Pillars of the Earth (Kingsbridge, #1)"
Philip Pullman,119322,"The Golden Compass (His Dark Materials, #1)"
Stephenie Meyer,428263,"Eclipse (Twilight, #3)"
Stephen King,11588,The Shining (The Shining #1)
Helen Fielding,227443,"Bridget Jones's Diary (Bridget Jones, #1)"
Stephen King,149267,The Stand
Max Brooks,8908,World War Z: An Oral History of the Zombie War
Emily St. John Mandel,20170404,Station Eleven
Maria Semple,13526165,"Where'd You Go, Bernadette"
Diana Gabaldon,10964,"Outlander (Outlander, #1)"
Terry Pratchett,12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
Kim Edwards,10441,The Memory Keeper's Daughter
Michael Chabon,3985,The Amazing Adventures of Kavalier & Clay
Ransom Riggs,9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
John Kennedy Toole,310612,A Confederacy of Dunces
Donna Tartt,29044,The Secret History
Robin Sloan,1353887324,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)"
Dan Brown,17212231,"Inferno (Robert Langdon, #4)"
Veronica Roth,11735983,"Insurgent (Divergent, #2)"
Neil Gaiman,14497,Neverwhere
Garth Stein,3153910,The Art of Racing in the Rain
Diane Setterfield,40440,The Thirteenth Tale
George R.R. Martin,10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)"
Stephen King,10644930112263,11/22/63
John Irving,4473,A Prayer for Owen Meany
Haruki Murakami,11275,The Wind-Up Bird Chronicle
Haruki Murakami,4929,Kafka on the Shore
Fredrik Backman,18774964,A Man Called Ove
John Green,99561,Looking for Alaska
Arundhati Roy,9777,The God of Small Things
Dan Brown,11125,Digital Fortress
Harper Lee,24817626,Go Set a Watchman
Dan Brown,976,Deception Point
Leo Tolstoy,656,War and Peace
Margaret Atwood,46756,"Oryx and Crake (MaddAddam, #1)"
Ann Patchett,5826,Bel Canto
Elizabeth Kostova,10692,The Historian
Nicholas Sparks,15931,"The Notebook (The Notebook, #1)"
Neil Gaiman,2213661,The Graveyard Book
Chimamanda Ngozi Adichie,15796700,Americanah
Jennifer Egan,7331435,A Visit from the Goon Squad
Rick Riordan,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
Louis Sachar,38709,"Holes (Holes, #1)"
Kazuo Ishiguro,28921,The Remains of the Day
M.L. Stedman,13158800,The Light Between Oceans
Susanna Clarke,14201,Jonathan Strange & Mr Norrell
Stephen King,43615,"The Gunslinger (The Dark Tower, #1)"
Tracy Chevalier,2865,Girl with a Pearl Earring
Robert Galbraith,16160797,"The Cuckoo's Calling (Cormoran Strike, #1)"
Haruki Murakami,10357575184,1Q84
John Irving,7069,The World According to Garp
Rainbow Rowell,15745753,Eleanor & Park
Abraham Verghese,3591262,Cutting for Stone
Neil Gaiman,16793,Stardust
Veronica Roth,18710190,"Allegiant (Divergent, #3)"
Gabrielle Zevin,18293427,The Storied Life of A.J. Fikry
David Foster Wallace,6759,Infinite Jest
Gillian Flynn,5886881,Dark Places
Margaret Atwood,78433,The Blind Assassin
Patrick Rothfuss,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)"
Jonathan Safran Foer,256566,Everything Is Illuminated
John Grisham,5358,"The Firm (Penguin Readers, Level 5)"
Jonathan Franzen,3805,The Corrections
Gillian Flynn,18045891,Sharp Objects
Wally Lamb,5203,She's Come Undone
Patrick Süskind,343,Perfume: The Story of a Murderer
Mario Puzo,22034,The Godfather
Stephen King,830502,It
Roald Dahl,6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)"
Bret Easton Ellis,28676,American Psycho
William Paul Young,1812457,The Shack
John Grisham,32542,A Time to Kill
Janet Fitch,32234,White Oleander
Julian Barnes,10746542,The Sense of an Ending
William Faulkner,10975,The Sound and the Fury
Jonathan Franzen,7905092,Freedom
José Saramago,2526,Blindness
Philip Pullman,119324,"The Subtle Knife (His Dark Materials, #2)"
Jhumpa Lahiri,5439,Interpreter of Maladies
Neil Gaiman,17061,Coraline
Christopher Paolini,113436,"Eragon (The Inheritance Cycle, #1)"
Laura Esquivel,6952,Like Water for Chocolate
Zadie Smith,3711,White Teeth
Chuck Palahniuk,29059,Choke
Lauren Weisberger,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)"
Rebecca Wells,137791,Divine Secrets of the Ya-Ya Sisterhood
Lisa See,1103,Snow Flower and the Secret Fan
James Dashner,6186357,"The Maze Runner (Maze Runner, #1)"
Tatiana de Rosnay,556602,Sarah's Key
